Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-173623,"Classical antibody-mediated complement activation",65,97,0.006388724231047882,1.1102230246251565E-16,3.9968028886505635E-15,2,2,1.4206563432305724E-4,9606,Homo sapiens,"IGHV1-2;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGHV1-67;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV2-23;IGKV3-20","","R-HSA-173626;R-HSA-173631"
R-HSA-2029481,"FCGR activation",65,103,0.006783903049463216,1.1102230246251565E-16,3.9968028886505635E-15,6,6,4.2619690296917176E-4,9606,Homo sapiens,"IGHV1-2;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGHV1-67;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV2-23;IGKV3-20","","R-HSA-2029455;R-HSA-2029452;R-HSA-2029449;R-HSA-1861621;R-HSA-2029459;R-HSA-2029457"
R-HSA-5690714,"CD22 mediated BCR regulation",49,72,0.004742145820983995,1.1102230246251565E-16,3.9968028886505635E-15,3,4,2.841312686461145E-4,9606,Homo sapiens,"IGHM;IGHV1-2;IGHV1-46;IGLV2-8;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGHV1-67;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV2-23;IGKV3-20","","R-HSA-5690740;R-HSA-5690702;R-HSA-5690701"
R-HSA-166786,"Creation of C4 and C2 activators",67,111,0.007310808140683659,1.1102230246251565E-16,3.9968028886505635E-15,5,8,5.68262537292229E-4,9606,Homo sapiens,"FCN2;FCN3;IGHV1-2;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGHV1-67;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV2-23;IGKV3-20","","R-HSA-166726;R-HSA-2855054;R-HSA-173626;R-HSA-173631;R-HSA-2855077"
R-HSA-9664323,"FCGR3A-mediated IL10 synthesis",66,141,0.009286702232760324,1.1102230246251565E-16,3.9968028886505635E-15,10,20,0.0014206563432305726,9606,Homo sapiens,"IGHV1-2;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGHV1-67;IGLV3-1;IGHV3-48;ADCY1;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV2-23;IGKV3-20","","R-HSA-9664275;R-HSA-9664273;R-HSA-9664278;R-HSA-9664261;R-HSA-111930;R-HSA-9664271;R-HSA-9664270;R-HSA-9664397;R-HSA-9664285;R-HSA-9664268"
R-HSA-9664422,"FCGR3A-mediated phagocytosis",65,157,0.010340512415201212,1.1102230246251565E-16,3.9968028886505635E-15,12,27,0.001917886063361273,9606,Homo sapiens,"IGHV1-2;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGHV1-67;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV2-23;IGKV3-20","","R-HSA-9664275;R-HSA-9666435;R-HSA-9664273;R-HSA-9666433;R-HSA-9664406;R-HSA-9664261;R-HSA-9666426;R-HSA-9666458;R-HSA-9666425;R-HSA-9666430;R-HSA-9664397;R-HSA-9666428"
R-HSA-9664417,"Leishmania phagocytosis",65,157,0.010340512415201212,1.1102230246251565E-16,3.9968028886505635E-15,12,27,0.001917886063361273,9606,Homo sapiens,"IGHV1-2;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGHV1-67;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV2-23;IGKV3-20","","R-HSA-9664275;R-HSA-9666435;R-HSA-9664273;R-HSA-9666433;R-HSA-9664406;R-HSA-9664261;R-HSA-9666426;R-HSA-9666458;R-HSA-9666425;R-HSA-9666430;R-HSA-9664397;R-HSA-9666428"
R-HSA-9664407,"Parasite infection",65,157,0.010340512415201212,1.1102230246251565E-16,3.9968028886505635E-15,12,27,0.001917886063361273,9606,Homo sapiens,"IGHV1-2;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGHV1-67;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV2-23;IGKV3-20","","R-HSA-9664275;R-HSA-9666435;R-HSA-9664273;R-HSA-9666433;R-HSA-9664406;R-HSA-9664261;R-HSA-9666426;R-HSA-9666458;R-HSA-9666425;R-HSA-9666430;R-HSA-9664397;R-HSA-9666428"
R-HSA-166663,"Initial triggering of complement",68,120,0.007903576368306658,1.1102230246251565E-16,3.9968028886505635E-15,9,21,0.0014916891603921011,9606,Homo sapiens,"FCN2;FCN3;IGHV1-2;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGHV1-67;IGLV3-1;IGHV3-48;IGHV1-69;CFP;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV2-23;IGKV3-20","","R-HSA-166753;R-HSA-166726;R-HSA-2855054;R-HSA-174551;R-HSA-173754;R-HSA-173626;R-HSA-166792;R-HSA-173631;R-HSA-2855077"
R-HSA-983695,"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",49,103,0.006783903049463216,1.1102230246251565E-16,3.9968028886505635E-15,11,26,0.0018468532461997443,9606,Homo sapiens,"IGHM;IGHV1-2;IGHV1-46;IGLV2-8;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGHV1-67;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV2-23;IGKV3-20","","R-HSA-9606162;R-HSA-9606163;R-HSA-983709;R-HSA-983707;R-HSA-9606151;R-HSA-983703;R-HSA-1112666;R-HSA-983700;R-HSA-9606159;R-HSA-9691421;R-HSA-983696"
