Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-173623,"Classical antibody-mediated complement activation",75,97,0.006364829396325459,1.1102230246251565E-16,3.885780586188048E-15,2,2,1.4133276800226132E-4,9606,Homo sapiens,"IGHV4-34;IGHV3-23;IGHV1-2;IGHV4-39;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-6;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGKV2D-40;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV1-51;IGLV2-23;IGKV3-20","","R-HSA-173626;R-HSA-173631"
R-HSA-2029481,"FCGR activation",76,103,0.006758530183727034,1.1102230246251565E-16,3.885780586188048E-15,6,6,4.2399830400678397E-4,9606,Homo sapiens,"IGHV4-34;IGHV3-23;IGHV1-2;IGHV4-39;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-6;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGKV2D-40;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV1-51;IGLV2-23;FCGR2B;IGKV3-20","","R-HSA-2029455;R-HSA-2029452;R-HSA-2029449;R-HSA-1861621;R-HSA-2029459;R-HSA-2029457"
R-HSA-5690714,"CD22 mediated BCR regulation",58,72,0.004724409448818898,1.1102230246251565E-16,3.885780586188048E-15,3,4,2.8266553600452265E-4,9606,Homo sapiens,"IGHM;IGHV4-34;IGHV3-23;IGHV1-2;IGHV4-39;IGHV1-46;IGLV2-8;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-6;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;CD79A;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGKV2D-40;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV1-51;IGLV2-23;IGKV3-20","","R-HSA-5690740;R-HSA-5690702;R-HSA-5690701"
R-HSA-166786,"Creation of C4 and C2 activators",78,111,0.007283464566929134,1.1102230246251565E-16,3.885780586188048E-15,6,8,5.653310720090453E-4,9606,Homo sapiens,"FCN2;FCN3;IGHV4-34;IGHV3-23;IGHV1-2;IGHV4-39;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-6;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;COLEC11;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGKV2D-40;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV1-51;IGLV2-23;IGKV3-20","","R-HSA-166726;R-HSA-2855054;R-HSA-173626;R-HSA-8852509;R-HSA-173631;R-HSA-2855077"
R-HSA-166663,"Initial triggering of complement",79,120,0.007874015748031496,1.1102230246251565E-16,3.885780586188048E-15,10,21,0.001483994064023744,9606,Homo sapiens,"FCN2;FCN3;IGHV4-34;IGHV3-23;IGHV1-2;IGHV4-39;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-6;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;COLEC11;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV3-48;IGHV1-69;CFP;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGKV2D-40;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV1-51;IGLV2-23;IGKV3-20","","R-HSA-166753;R-HSA-166726;R-HSA-2855054;R-HSA-174551;R-HSA-173754;R-HSA-173626;R-HSA-166792;R-HSA-8852509;R-HSA-173631;R-HSA-2855077"
R-HSA-9664323,"FCGR3A-mediated IL10 synthesis",76,141,0.009251968503937008,1.1102230246251565E-16,3.885780586188048E-15,9,20,0.0014133276800226133,9606,Homo sapiens,"IGHV4-34;IGHV3-23;IGHV1-2;IGHV4-39;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-6;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGKV2D-40;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV1-51;IGLV2-23;FCGR2B;IGKV3-20","","R-HSA-9664275;R-HSA-9664273;R-HSA-9664278;R-HSA-9664261;R-HSA-9664271;R-HSA-9664270;R-HSA-9664397;R-HSA-9664285;R-HSA-9664268"
R-HSA-9664407,"Parasite infection",75,157,0.010301837270341207,1.1102230246251565E-16,3.885780586188048E-15,12,27,0.0019079923680305278,9606,Homo sapiens,"IGHV4-34;IGHV3-23;IGHV1-2;IGHV4-39;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-6;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGKV2D-40;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV1-51;IGLV2-23;IGKV3-20","","R-HSA-9664275;R-HSA-9666435;R-HSA-9664273;R-HSA-9666433;R-HSA-9664406;R-HSA-9664261;R-HSA-9666426;R-HSA-9666458;R-HSA-9666425;R-HSA-9666430;R-HSA-9664397;R-HSA-9666428"
R-HSA-9664422,"FCGR3A-mediated phagocytosis",75,157,0.010301837270341207,1.1102230246251565E-16,3.885780586188048E-15,12,27,0.0019079923680305278,9606,Homo sapiens,"IGHV4-34;IGHV3-23;IGHV1-2;IGHV4-39;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-6;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGKV2D-40;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV1-51;IGLV2-23;IGKV3-20","","R-HSA-9664275;R-HSA-9666435;R-HSA-9664273;R-HSA-9666433;R-HSA-9664406;R-HSA-9664261;R-HSA-9666426;R-HSA-9666458;R-HSA-9666425;R-HSA-9666430;R-HSA-9664397;R-HSA-9666428"
R-HSA-9664417,"Leishmania phagocytosis",75,157,0.010301837270341207,1.1102230246251565E-16,3.885780586188048E-15,12,27,0.0019079923680305278,9606,Homo sapiens,"IGHV4-34;IGHV3-23;IGHV1-2;IGHV4-39;IGHV1-46;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-6;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGKV2D-40;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV1-51;IGLV2-23;IGKV3-20","","R-HSA-9664275;R-HSA-9666435;R-HSA-9664273;R-HSA-9666433;R-HSA-9664406;R-HSA-9664261;R-HSA-9666426;R-HSA-9666458;R-HSA-9666425;R-HSA-9666430;R-HSA-9664397;R-HSA-9666428"
R-HSA-983695,"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",58,103,0.006758530183727034,1.1102230246251565E-16,3.885780586188048E-15,11,26,0.0018373259840293971,9606,Homo sapiens,"IGHM;IGHV4-34;IGHV3-23;IGHV1-2;IGHV4-39;IGHV1-46;IGLV2-8;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-6;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGKV2D-28;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV3-48;IGHV1-69;IGLV2-11;CD79A;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGLC7;IGHV3-53;IGKV2D-40;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV7-43;IGLV1-51;IGLV2-23;IGKV3-20","","R-HSA-9606162;R-HSA-9606163;R-HSA-983709;R-HSA-983707;R-HSA-9606151;R-HSA-983703;R-HSA-1112666;R-HSA-983700;R-HSA-9606159;R-HSA-9691421;R-HSA-983696"
