Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-173623,"Classical antibody-mediated complement activation",62,97,0.006364829396325459,1.1102230246251565E-16,4.9960036108132044E-15,2,2,1.4133276800226132E-4,9606,Homo sapiens,"IGHV3-23;IGHV1-2;IGHV4-39;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGLV3-1;IGHV3-48;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV2-23;IGKV3-20","","R-HSA-173626;R-HSA-173631"
R-HSA-2029481,"FCGR activation",63,103,0.006758530183727034,1.1102230246251565E-16,4.9960036108132044E-15,6,6,4.2399830400678397E-4,9606,Homo sapiens,"IGHV3-23;IGHV1-2;IGHV4-39;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGLV3-1;IGHV3-48;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV2-23;FCGR2B;IGKV3-20","","R-HSA-2029455;R-HSA-2029452;R-HSA-2029449;R-HSA-1861621;R-HSA-2029459;R-HSA-2029457"
R-HSA-2168880,"Scavenging of heme from plasma",69,106,0.006955380577427821,1.1102230246251565E-16,4.9960036108132044E-15,10,12,8.479966080135679E-4,9606,Homo sapiens,"IGHV3-23;IGHV1-2;HP;HBB;IGHV4-39;IGLV8-61;IGLV4-60;JCHAIN;IGLV2-8;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;APOA1;IGKV1D-39;HBA2;HBA1;IGLV4-69;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGLV3-1;IGHV3-48;HPR;IGLV2-11;IGLV3-25;HPX;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGHA1;IGHA2;IGLC7;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;ALB;IGLV2-23;IGKV3-20","","R-HSA-2168897;R-HSA-2168883;R-HSA-2168885;R-HSA-2230983;R-HSA-2168884;R-HSA-2168887;R-HSA-2168886;R-HSA-2230938;R-HSA-2168889;R-HSA-2203516"
R-HSA-5690714,"CD22 mediated BCR regulation",47,72,0.004724409448818898,1.1102230246251565E-16,4.9960036108132044E-15,3,4,2.8266553600452265E-4,9606,Homo sapiens,"IGHV2-70;IGHM;IGHV2-5;IGHV1-2;IGHV3-23;IGHV4-59;IGHV4-39;IGLV3-1;IGHV3-48;IGLV2-8;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGKV2-29;IGKV1-16;IGLV1-47;IGLV6-57;IGKV1-17;IGKV2-28;IGLV2-14;IGLV3-21;IGLV1-44;IGLC3;IGKV1-12;IGKV3-15;IGLC1;IGLC2;IGKV1-33;IGKV3-11;IGHV3-7;IGHV3-30;IGLC7;IGKV5-2;IGHV3-33;IGHV3-11;IGKV1-5;IGKV3D-20;IGHV3-13;IGKV1D-39;IGKV1D-16;IGLV2-23;IGKV4-1;IGLV3-19;IGKV3-20;IGKV2-30","","R-HSA-5690740;R-HSA-5690702;R-HSA-5690701"
R-HSA-166786,"Creation of C4 and C2 activators",65,111,0.007283464566929134,1.1102230246251565E-16,4.9960036108132044E-15,6,8,5.653310720090453E-4,9606,Homo sapiens,"FCN2;FCN3;IGHV3-23;IGHV1-2;IGHV4-39;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;MBL2;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGLV3-1;IGHV3-48;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV2-23;IGKV3-20","","R-HSA-166721;R-HSA-166726;R-HSA-2855054;R-HSA-173626;R-HSA-173631;R-HSA-2855077"
R-HSA-2173782,"Binding and Uptake of Ligands by Scavenger Receptors",72,168,0.011023622047244094,1.1102230246251565E-16,4.9960036108132044E-15,18,33,0.002331990672037312,9606,Homo sapiens,"IGHV3-23;IGHV1-2;HP;HBB;IGHV4-39;IGLV8-61;IGLV4-60;JCHAIN;IGLV2-8;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;APOA1;IGKV1D-39;HBA2;HBA1;IGLV4-69;IGLV1-36;COL4A1;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGLV3-1;IGHV3-48;HPR;IGLV2-11;IGLV3-25;HPX;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGHA1;IGHA2;IGLC7;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;COL1A1;MARCO;ALB;IGLV2-23;IGKV3-20","","R-HSA-2168897;R-HSA-2187264;R-HSA-3221843;R-HSA-2230983;R-HSA-2507854;R-HSA-2197646;R-HSA-2168883;R-HSA-2173778;R-HSA-2247510;R-HSA-2173781;R-HSA-2168885;R-HSA-2168884;R-HSA-2168887;R-HSA-2168886;R-HSA-2230938;R-HSA-2168889;R-HSA-2247512;R-HSA-2203516"
R-HSA-9664323,"FCGR3A-mediated IL10 synthesis",64,141,0.009251968503937008,1.1102230246251565E-16,4.9960036108132044E-15,10,20,0.0014133276800226133,9606,Homo sapiens,"IGHV3-23;IGHV1-2;IGHV4-39;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGLV3-1;IGHV3-48;ADCY1;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV2-23;FCGR2B;IGKV3-20","","R-HSA-9664275;R-HSA-9664273;R-HSA-9664278;R-HSA-9664261;R-HSA-111930;R-HSA-9664271;R-HSA-9664270;R-HSA-9664397;R-HSA-9664285;R-HSA-9664268"
R-HSA-166658,"Complement cascade",74,156,0.010236220472440945,1.1102230246251565E-16,4.9960036108132044E-15,35,72,0.005087979648081407,9606,Homo sapiens,"FCN2;FCN3;IGHV3-23;IGHV1-2;IGHV4-39;C8B;C8A;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;MBL2;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGLV3-1;IGHV3-48;CFP;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;C6;IGKC;C7;IGLV1-47;IGLV5-45;IGLV6-57;IGLV2-14;IGLV3-21;C9;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;CFHR4;CFHR3;IGLV2-23;IGKV3-20","","R-HSA-977359;R-HSA-166721;R-HSA-166726;R-HSA-8852481;R-HSA-166792;R-HSA-173705;R-HSA-977605;R-HSA-2855077;R-HSA-976768;R-HSA-173709;R-HSA-174551;R-HSA-977371;R-HSA-1006169;R-HSA-173723;R-HSA-173720;R-HSA-2530429;R-HSA-977363;R-HSA-173725;R-HSA-166753;R-HSA-166817;R-HSA-8852580;R-HSA-976810;R-HSA-2855054;R-HSA-976743;R-HSA-2530445;R-HSA-8851436;R-HSA-8852266;R-HSA-981728;R-HSA-173680;R-HSA-2530453;R-HSA-9021306;R-HSA-173754;R-HSA-173626;R-HSA-981621;R-HSA-173631"
R-HSA-166663,"Initial triggering of complement",66,120,0.007874015748031496,1.1102230246251565E-16,4.9960036108132044E-15,10,21,0.001483994064023744,9606,Homo sapiens,"FCN2;FCN3;IGHV3-23;IGHV1-2;IGHV4-39;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;MBL2;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGLV3-1;IGHV3-48;CFP;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV2-23;IGKV3-20","","R-HSA-166753;R-HSA-166721;R-HSA-166726;R-HSA-174551;R-HSA-2855054;R-HSA-173754;R-HSA-173626;R-HSA-166792;R-HSA-173631;R-HSA-2855077"
R-HSA-9664407,"Parasite infection",62,157,0.010301837270341207,1.1102230246251565E-16,4.9960036108132044E-15,12,27,0.0019079923680305278,9606,Homo sapiens,"IGHV3-23;IGHV1-2;IGHV4-39;IGLV8-61;IGLV4-60;IGHG3;IGLV2-8;IGHG4;IGHG1;IGKV2-29;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGLC3;IGKV1-12;IGLC1;IGLC2;IGHV3-7;IGHV3-30;IGHV3-33;IGKV3D-20;IGKV1D-39;IGLV4-69;IGLV1-36;IGKV4-1;IGLV3-19;IGKV2-30;IGHV2-70;IGHV2-5;IGHV4-59;IGLV3-1;IGHV3-48;IGLV2-11;IGLV3-25;IGLV3-27;IGLV1-40;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGLC7;IGKV5-2;IGHV3-11;IGKV1-5;IGHV3-13;IGKV1D-16;IGLV2-23;IGKV3-20","","R-HSA-9664275;R-HSA-9666435;R-HSA-9664273;R-HSA-9666433;R-HSA-9664406;R-HSA-9664261;R-HSA-9666426;R-HSA-9666458;R-HSA-9666425;R-HSA-9666430;R-HSA-9664397;R-HSA-9666428"
